GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cheque-processing,com.example.chequeprocessing.service,ChequeValidator,15,74,8,16,3,17,8,8,0,4
cheque-processing,com.example.chequeprocessing.service,ChequeService.ChequeBounceException,0,4,0,0,0,1,0,1,0,1
cheque-processing,com.example.chequeprocessing.service,ChequeService,28,166,3,5,4,43,5,4,2,3
cheque-processing,com.example.chequeprocessing.sayad,SayadProperties,0,10,0,0,0,4,0,3,0,3
cheque-processing,com.example.chequeprocessing.sayad,SayadClient,0,61,0,0,0,10,0,3,0,3
cheque-processing,com.example.chequeprocessing.config,RestClientConfig,0,7,0,0,0,2,0,2,0,2
cheque-processing,com.example.chequeprocessing.config,DataInitializer,0,40,1,1,0,10,1,3,0,3
cheque-processing,com.example.chequeprocessing.web,ChequeController,8,48,0,0,2,11,0,3,0,3
cheque-processing,com.example.chequeprocessing,ChequeProcessingApplication,5,3,0,0,2,1,1,1,1,1
cheque-processing,com.example.chequeprocessing.security,JwtAuthenticationFilter,9,61,5,5,1,16,5,2,0,2
cheque-processing,com.example.chequeprocessing.security,JwtUtil,2,63,1,1,0,17,1,4,0,4
cheque-processing,com.example.chequeprocessing.security,SecurityConfig,0,83,0,0,0,17,0,9,0,9
cheque-processing,com.example.chequeprocessing.domain,BounceRecord,16,15,0,0,5,4,5,4,5,4
cheque-processing,com.example.chequeprocessing.domain,AccountStatus,0,15,0,0,0,3,0,1,0,1
cheque-processing,com.example.chequeprocessing.domain,Account,11,16,0,0,5,6,3,4,3,4
cheque-processing,com.example.chequeprocessing.domain,ChequeStatus,0,21,0,0,0,4,0,1,0,1
cheque-processing,com.example.chequeprocessing.domain,Cheque,0,45,0,0,0,13,0,13,0,13
cheque-processing,com.example.chequeprocessing.web.dto,IssueChequeRequest,0,24,0,0,0,7,0,7,0,7
